periodo	product_id	tn	tn_lag_1	tn_lag_2	tn_lag_3	tn_lag_4	tn_lag_5	tn_lag_6	tn_lag_7	tn_lag_8	tn_lag_9	tn_lag_10	tn_lag_11	tn_target
201701	20001	934.77222												1303.35771
201702	20001	798.0162	934.77222											1069.9613
201703	20001	1303.35771	798.0162	934.77222										1502.2013200000001
201704	20001	1069.9613	1303.35771	798.0162	934.77222									1520.06539
201705	20001	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222								1030.67391
201706	20001	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222							1267.39462
201707	20001	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222						1316.94604
201708	20001	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222					1439.75563
201709	20001	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222				1580.47401
201710	20001	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222			1049.3886
201711	20001	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222		1169.07532
201712	20001	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	934.77222	1043.7647
201801	20001	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	798.0162	1856.83534
201802	20001	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1303.35771	1251.28462
201803	20001	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1069.9613	1293.89788
201804	20001	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1502.2013200000001	1150.79169
201805	20001	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1520.06539	1470.4100899999999
201806	20001	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1030.67391	1800.96168
201807	20001	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	1267.39462	1438.67455
201808	20001	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1316.94604	2295.19832
201809	20001	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1439.75563	1813.01511
201810	20001	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1580.47401	1486.68669
201811	20001	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1049.3886	1275.77351
201812	20001	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1169.07532	1259.09363
201901	20001	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1043.7647	1470.65653
201902	20001	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1856.83534	1647.6384799999998
201903	20001	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1251.28462	1629.78233
201904	20001	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1293.89788	1109.93769
201905	20001	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1150.79169	1678.99318
201906	20001	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1470.4100899999999	1261.34529
201907	20001	1678.99318	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1800.96168	1660.00561
201908	20001	1261.34529	1678.99318	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1438.67455	1561.50552
201909	20001	1660.00561	1261.34529	1678.99318	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	2295.19832	1397.37231
201910	20001	1561.50552	1660.00561	1261.34529	1678.99318	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	1813.01511	1504.68856
201911	20001	1397.37231	1561.50552	1660.00561	1261.34529	1678.99318	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	1486.68669	
201912	20001	1504.68856	1397.37231	1561.50552	1660.00561	1261.34529	1678.99318	1109.93769	1629.78233	1647.6384799999998	1470.65653	1259.09363	1275.77351	
201701	20002	550.15707												834.73521
201702	20002	505.88633	550.15707											522.35365
201703	20002	834.73521	505.88633	550.15707										843.43785
201704	20002	522.35365	834.73521	505.88633	550.15707									968.15756
201705	20002	843.43785	522.35365	834.73521	505.88633	550.15707								845.39319
201706	20002	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707							619.71078
201707	20002	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707						1065.34529
201708	20002	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707					857.45269
201709	20002	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707				750.41853
201710	20002	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707			820.58984
201711	20002	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707		984.80167
201712	20002	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	550.15707	712.00087
201801	20002	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	505.88633	966.86044
201802	20002	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	834.73521	999.20934
201803	20002	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	522.35365	1103.39191
201804	20002	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	843.43785	1033.82845
201805	20002	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	968.15756	977.40239
201806	20002	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	845.39319	1161.8843
201807	20002	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	619.71078	954.2357499999999
201808	20002	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1065.34529	1378.49032
201809	20002	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	857.45269	1766.81068
201810	20002	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	750.41853	1009.45458
201811	20002	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	820.58984	1266.7875099999999
201812	20002	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	984.80167	1043.01349
201901	20002	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	712.00087	1083.62552
201902	20002	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	966.86044	1287.62346
201903	20002	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	999.20934	1034.98927
201904	20002	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1103.39191	928.36431
201905	20002	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	1033.82845	1066.44999
201906	20002	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	977.40239	813.78215
201907	20002	1066.44999	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1161.8843	1090.18771
201908	20002	813.78215	1066.44999	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	954.2357499999999	1979.53635
201909	20002	1090.18771	813.78215	1066.44999	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1378.49032	1423.5773900000002
201910	20002	1979.53635	1090.18771	813.78215	1066.44999	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	1766.81068	1087.30855
201911	20002	1423.5773900000002	1979.53635	1090.18771	813.78215	1066.44999	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	1009.45458	
